City,State/Province,Country,Latitude,Longitude
Cook Islands​,,Cook Islands​,,
Antigua and Barbuda​,,Antigua and Barbuda​,,
Turks and Caicos Islands​,,Turks and Caicos Islands​,,
Great Ocean Road,Victoria, Australia,,
Pembrokeshire,Wales, United Kingdom,,
Mauritius​,,Mauritius​,,
Cayman Islands​,,Cayman Islands​,,
Seychelles​,,Seychelles​,,
Cumbria,England, United Kingdom,,
Greater Geelong & the Bellarine,Victoria, Australia,,
French Polynesia,France,France,,
Barbados​,,Barbados​,,
Lake District,England, United Kingdom,,
Cornwall,England, United Kingdom,,
Jamaica​,,Jamaica​,,
Hunter Valley,New South Wales, Australia,,
Pizol,Switzerland,Switzerland,,
Santorini,Greece,Greece,,
Kaua'i,Hawaii, United States,,
Fiji​,,Fiji​,,
Saint Lucia​,,Saint Lucia​,,
Bahamas​,,Bahamas​,,
Perth and Kinross,Scotland, United Kingdom,,
Yarra Valley,Victoria, Australia,,
,,,,
Hong Kong,,Hong Kong,,
Yangon,,Burma/Myanmar,,
Honolulu,,Hawaii,,
