LocationID,cost_rank
0,4
1,4
2,3
3,4
4,4
5,4
6,3
7,3
8,3
9,3
10,4
11,4
12,3
13,3
14,3
15,3
16,3
17,4
18,4
19,4
20,3
21,3
22,3
23,1
24,1
25,3
26,3
27,4
28,4
29,3
30,3
31,3
32,3
33,3
34,3
35,4
36,3
37,4
38,1
39,4
40,5
41,3
42,3
43,4
44,4
45,3
46,5
47,3
48,3
49,3
50,4
51,3
52,3
53,4
54,4
55,4
56,3
57,4
58,4
59,4
60,3
61,3
62,5
63,4
64,4
65,3
66,3
67,3
68,3
69,4
70,4
71,3
72,3
73,3
74,3
75,4
76,3
77,3
78,3
79,3
80,3
81,3
82,5
83,3
84,4
85,3
86,2
87,4
88,1
89,1
90,3
91,1
92,1
93,1
94,1
95,1
96,1
97,2
98,1
99,2
100,3
101,4
102,4
103,2
104,5
105,3
106,4
107,4
108,5
109,3
110,4
111,3
112,2
113,4
114,3
115,3
116,3
117,3
118,3
119,1
120,4
121,2
122,4
123,4
124,4
125,1
126,4
127,4
128,3
129,3
130,5
131,3
132,4
133,4
134,4
135,2
136,2
137,5
138,4
139,4
140,3
141,4
142,5
143,5
144,1
145,5
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,5
154,2
155,2
156,5
157,4
158,1
159,4
160,4
161,5
162,4
163,5
164,1
165,3
166,4
167,5
168,4
169,5
170,4
171,5
172,5
173,4
